WIND,SOLAR,HYDRO
0.99025,0,0.99025
0.98275,0,0.98275
0.979,0,0.979
0.965875,0,0.965875
0.892125,0,0.892125
0.94825,0,0.94825
0.973125,0,0.973125
0.99,0,0.99
0.98,0.069454545,0.98
0.934,0.196545455,0.934
0.880375,0.244090909,0.880375
0.847375,0.309272727,0.847375
0.844,0.357909091,0.844
0.8385,0.341727273,0.8385
0.824375,0.270181818,0.824375
0.817125,0.144363636,0.817125
0.813625,0.012909091,0.813625
0.77875,0,0.77875
0.7145,0,0.7145
0.609125,0,0.609125
0.52275,0,0.52275
0.43775,0,0.43775
0.367875,0,0.367875
0.32225,0,0.32225
0.27425,0,0.27425
0.23925,0,0.23925
0.233625,0,0.233625
0.233625,0,0.233625
0.241125,0,0.241125
0.224375,0,0.224375
0.188625,0,0.188625
0.1625,0.000272727,0.1625
0.161875,0.143090909,0.161875
0.12075,0.331818182,0.12075
0.05,0.392727273,0.05
0.021625,0.402909091,0.021625
0.0065,0.369818182,0.0065
0.004875,0.313090909,0.004875
0.009,0.223181818,0.009
0.01125,0.119636364,0.01125
0.05325,0.010363636,0.05325
0.129875,0,0.129875
0.198625,0,0.198625
0.265,0,0.265
0.392375,0,0.392375
0.47525,0,0.47525
0.518375,0,0.518375
0.546875,0,0.546875
0.55175,0,0.55175
0.53875,0,0.53875
0.563875,0,0.563875
0.560625,0,0.560625
0.578625,0,0.578625
0.581,0,0.581
0.57575,0,0.57575
0.63725,0,0.63725
0.620625,0.077090909,0.620625
0.543,0.228636364,0.543
0.571875,0.303454545,0.571875
0.629125,0.339090909,0.629125
0.642625,0.361181818,0.642625
0.609,0.338181818,0.609
0.5535,0.260636364,0.5535
0.475625,0.134363636,0.475625
0.46475,0.011090909,0.46475
0.50025,0,0.50025
0.46825,0,0.46825
0.444875,0,0.444875
0.497,0,0.497
0.51625,0,0.51625
0.477,0,0.477
0.46025,0,0.46025
0.454375,0,0.454375
0.4735,0,0.4735
0.547,0,0.547
0.599375,0,0.599375
0.611375,0,0.611375
0.604,0,0.604
0.599625,0,0.599625
0.599625,0.000272727,0.599625
0.62375,0.138727273,0.62375
0.54725,0.332363636,0.54725
0.60625,0.391181818,0.60625
0.621625,0.396,0.621625
0.569375,0.386272727,0.569375
0.48875,0.337545455,0.48875
0.3965,0.254272727,0.3965
0.350625,0.136090909,0.350625
0.403625,0.013090909,0.403625
0.487125,0,0.487125
0.43025,0,0.43025
0.3865,0,0.3865
0.311625,0,0.311625
0.24925,0,0.24925
0.27125,0,0.27125
